tau,Method,accuracy,precision,sensitivity,specificity,f1,auc,mcc
0.6,Grouping 1 (GP1),0.9903,0.9906,0.9903,0.9952,0.9904,0.9998,0.9856
0.6,Grouping 2 (GP2),0.9783,0.9797,0.9783,0.9892,0.9784,0.9993,0.9681
0.6,Grouping 3 (GP3),0.9923,0.9925,0.9923,0.9962,0.9923,0.9999,0.9886
0.6,Grouping 4 (GP4),0.984,0.9847,0.984,0.992,0.984,0.9996,0.9763
0.7,Grouping 1 (GP1),0.9923,0.9925,0.9923,0.9962,0.9923,0.9999,0.9886
0.7,Grouping 2 (GP2),0.9853,0.986,0.9853,0.9927,0.9854,0.9996,0.9783
0.7,Grouping 3 (GP3),0.9933,0.9935,0.9933,0.9967,0.9933,0.9999,0.9901
0.7,Grouping 4 (GP4),0.989,0.9894,0.989,0.9945,0.989,0.9998,0.9837
0.8,Grouping 1 (GP1),0.9937,0.9938,0.9937,0.9968,0.9937,0.9999,0.9905
0.8,Grouping 2 (GP2),0.9897,0.99,0.9897,0.9948,0.9897,0.9998,0.9846
0.8,Grouping 3 (GP3),0.995,0.9951,0.995,0.9975,0.995,0.9999,0.9925
0.8,Grouping 4 (GP4),0.9927,0.9928,0.9927,0.9963,0.9927,0.9999,0.9891
0.9,Grouping 1 (GP1),0.996,0.996,0.996,0.998,0.996,0.9999,0.994
0.9,Grouping 2 (GP2),0.993,0.9931,0.993,0.9965,0.993,0.9999,0.9896
0.9,Grouping 3 (GP3),0.997,0.997,0.997,0.9985,0.997,1.0,0.9955
0.9,Grouping 4 (GP4),0.994,0.9941,0.994,0.997,0.994,0.9999,0.991
